Study Title,"Author, year",Diagnosis,Outcome,Control,Study Duration (Weeks),Frequency (per day),Minutes,Min Per Day,Total Practice Time,Number Lab Visits,Average Age Exp,Average Age Cont,Average Age Tot,Female Participants,Male Participants,Percent Female
Depressive rumination and heart rate variability: A pilot study on the effect of biofeedback on rumination and its physiological concomitants,"Schumann et al, 2022",Depression,Depression,TAU/WL,6,1.43,11,15.73,660.66,2,42,38,40,23,7,0.7666666667
Depressive rumination and heart rate variability: A pilot study on the effect of biofeedback on rumination and its physiological concomitants,"Schumann et al, 2022",Depression,Stress,TAU/WL,6,1.43,11,15.73,660.66,2,42,38,40,23,7,0.7666666667
Depressive rumination and heart rate variability: A pilot study on the effect of biofeedback on rumination and its physiological concomitants,"Schumann et al, 2022",Depression,Anxiety,TAU/WL,6,1.43,11,15.73,660.66,2,42,38,40,23,7,0.7666666667
Effects of heart rate variability biofeedback (HRVBFB) on sleep quality and depression among methamphetamine users,"Yen et al, 2023",SUD,Sleep,TAU/WL,4,2,20,40,1120,4,37.94,36.6,37.27,61,0,1
Effects of heart rate variability biofeedback (HRVBFB) on sleep quality and depression among methamphetamine users,"Yen et al, 2023",SUD,Depression,TAU/WL,4,2,20,40,1120,4,37.94,36.6,37.27,61,0,1
"Efficacy of rhythmical massage in comparison to heart rate variability biofeedback in patients with dysmenorrhea—A randomized, controlled trial","Vagedes et al, 2019",Dysmenorrhea,Quality of Life,TAU/WL,12,1,15,15,1260,13,31.56,26.65,29.105,40,0,1
Feasibility and Efficacy of the Addition of Heart Rate Variability Biofeedback to a Remote Digital Health Intervention for Depression,"Economides et al, 2020",Depression,Depression,TAU/WL,8,0.857,20,17.14,959.84,0,35.8,32.9,34.35,78,18,0.8125
"Heart rate variability biofeedback enhances cognitive, motor, psychological, and autonomic functions in post-stroke rehabilitation","Wang et al, 2024",Neurological,Stress,TAU/WL,12,2,10,20,1680,8,58.3,61.9,60.1,19,43,0.3064516129
"Implementing Mobile HRV Biofeedback as Adjunctive Therapy During Inpatient Psychiatric Rehabilitation Facilitates Recovery of
Depressive Symptoms and Enhances Autonomic Functioning Short-Term: A 1-Year Pre–Post- intervention Follow-Up Pilot Study","Tatschi et al, 2020",SMI,Depression,TAU/WL,5,2,10,20,700,5,49.03,49.43,49.23,43,26,0.6231884058
"ROLE OF HEART RATE VARIABILITY BIOFEEDBACK IN COGNITIVE PERFORMANCE, CHRONIC PAIN, AND RELATED SYMPTOMS","Winstead, 2019",PTSD,Depression,TAU/WL,6,1,15,15,630,6,54,55,54.5,28,56,0.3333333333
"ROLE OF HEART RATE VARIABILITY BIOFEEDBACK IN COGNITIVE PERFORMANCE, CHRONIC PAIN, AND RELATED SYMPTOMS","Winstead, 2019",PTSD,Stress,TAU/WL,6,1,15,15,630,6,54,55,54.5,28,56,0.3333333333
Symptom Management Among Cancer Survivors: Randomized Pilot Intervention Trial of Heart Rate Variability Biofeedback,"Burch et al, 2020",Cancer,Depression,TAU/WL,5,1,15,15,525,5,60,59,59.5,29,5,0.8529411765
Symptom Management Among Cancer Survivors: Randomized Pilot Intervention Trial of Heart Rate Variability Biofeedback,"Burch et al, 2020",Cancer,Stress,TAU/WL,5,1,15,15,525,5,60,59,59.5,29,5,0.8529411765
The Effect of Heart Rate Variability Biofeedback Training on Mental Health of Pregnant and Non- Pregnant Women: A Randomized Controlled Trial,"van der Zwan et al, 2019",Pregnant,Sleep,TAU/WL,5,1,23.75,23.75,831.25,5,31.8,31.3,31.55,40,0,1
The Effect of Heart Rate Variability Biofeedback Training on Mental Health of Pregnant and Non- Pregnant Women: A Randomized Controlled Trial,"van der Zwan et al, 2019",Pregnant,Depression,TAU/WL,5,1,23.75,23.75,831.25,5,31.8,31.3,31.55,40,0,1
The Effect of Heart Rate Variability Biofeedback Training on Mental Health of Pregnant and Non- Pregnant Women: A Randomized Controlled Trial,"van der Zwan et al, 2019",Pregnant,Anxiety,TAU/WL,5,1,23.75,23.75,831.25,5,31.8,31.3,31.55,40,0,1
The Effect of Heart Rate Variability Biofeedback Training on Mental Health of Pregnant and Non- Pregnant Women: A Randomized Controlled Trial,"van der Zwan et al, 2019",Pregnant,Stress,TAU/WL,5,1,23.75,23.75,831.25,5,31.8,31.3,31.55,40,0,1
"The Utility of a Novel, Combined Biofeedback-Virtual Reality Device as Add-on Treatment for Chronic Migraine","Cuneo et al, 2023",Migraine,Stress,TAU/WL,12,0.428,10,4.28,359.52,1,42.71,42.05,42.38,30,6,0.8333333333
"The Utility of a Novel, Combined Biofeedback-Virtual Reality Device as Add-on Treatment for Chronic Migraine","Cuneo et al, 2023",Migraine,Depression,TAU/WL,12,0.428,10,4.28,359.52,1,42.71,42.05,42.38,30,6,0.8333333333
