,Author,Diagnosis,Outcome,Control,n1i,n2i,M1_Exp,SD1_Exp,M2_Exp,SD2_Exp,M1_Cont1,SD1_Cont1,M2_Cont1,SD2_Cont1,m1i,m2i,sd1i,sd2i
Depressive rumination and heart rate variability: A pilot study on the effect of biofeedback on rumination and its physiological concomitants,"Schumann et al, 2022",Depression,Anxiety,TAU/WL,16,14,48.9,9.8,41.4,11.5,55.8,10.9,51.1,12.7,-7.5,-4.7,8.397023282,9.289671684
Effects of heart rate variability biofeedback (HRVBFB) on sleep quality and depression among methamphetamine users,"Yen et al, 2023",SUD,Sleep,TAU/WL,31,30,10.39,3.44,4.16,3.44,10.4,3.69,7.2,3.37,-6.23,-3.2,2.664612542,2.750196357
Effects of heart rate variability biofeedback (HRVBFB) on sleep quality and depression among methamphetamine users,"Yen et al, 2023",SUD,Depression,TAU/WL,31,30,16.97,7.21,9.35,7.21,16.26,9.15,15.53,8.91,-7.62,-0.73,5.584841985,6.998106887
"Efficacy of rhythmical massage in comparison to heart rate variability biofeedback in patients with dysmenorrhea—A randomized, controlled trial","Vagedes et al, 2019",Dysmenorrhea,Quality of Life,TAU/WL,20,17,85.91,14.15,94.6,14.15,90.15,12.89,90.4,14.2,8.69,0.25,10.96054287,10.56119785
Feasibility and Efficacy of the Addition of Heart Rate Variability Biofeedback to a Remote Digital Health Intervention for Depression,"Economides et al, 2020",Depressed,Depression,TAU/WL,48,48,15.5,0.62,7.85,0.62,15.08,0.68,8.37,0.99,-7.65,-6.71,0.4802499349,0.7071209232
"Heart rate variability biofeedback enhances cognitive, motor, psychological, and autonomic functions in post-stroke rehabilitation","Wang et al, 2024",Post Stroke,Stress,TAU/WL,31,31,16.8,3.9,15.5,5.6,16.8,6.5,15.6,6.1,-1.3,-1.2,3.99924993,4.893873721
"Implementing Mobile HRV Biofeedback as Adjunctive Therapy During Inpatient Psychiatric Rehabilitation Facilitates Recovery of
Depressive Symptoms and Enhances Autonomic Functioning Short-Term: A 1-Year Pre–Post- intervention Follow-Up Pilot Study","Tatschi et al, 2020",SMI,Depression,TAU/WL,8,7,21.59,12.51,9.18,10.13,19.97,14.04,12.5,11.11,-12.41,-7.47,9.038815188,10.10819173
"ROLE OF HEART RATE VARIABILITY BIOFEEDBACK IN COGNITIVE PERFORMANCE, CHRONIC PAIN, AND RELATED SYMPTOMS","Winstead, 2019",PTSD,Depression,TAU/WL,44,41,21.9,6.899,17.66,8.093,21.1,6.915,20.97,7.748,-4.24,-0.13,5.909805428,5.730649265
"ROLE OF HEART RATE VARIABILITY BIOFEEDBACK IN COGNITIVE PERFORMANCE, CHRONIC PAIN, AND RELATED SYMPTOMS","Winstead, 2019",PTSD,Stress,TAU/WL,44,41,22.46,4.378,21.72,5.041,23.76,4.418,22.26,4.866,-0.74,-1.5,3.698819785,3.619322699
Symptom Management Among Cancer Survivors: Randomized Pilot Intervention Trial of Heart Rate Variability Biofeedback,"Burch et al, 2020",Cancer,Depression,TAU/WL,17,17,12.4,2.1,8.3,0.87,17.1,2.3,11.7,2.3,-4.1,-5.4,1.615270875,1.781572339
Symptom Management Among Cancer Survivors: Randomized Pilot Intervention Trial of Heart Rate Variability Biofeedback,"Burch et al, 2020",Cancer,Stress,TAU/WL,17,17,22.8,1.1,20.9,2.5,22.1,1.1,20.8,0.59,-1.9,-1.3,1.9,0.8059156283
The Effect of Heart Rate Variability Biofeedback Training on Mental Health of Pregnant and Non- Pregnant Women: A Randomized Controlled Trial,"van der Zwan et al, 2019",Pregant,Sleep,TAU/WL,29,21,6.55,4.15,5.46,2.63,6.71,3.21,6.05,2.63,-1.09,-0.66,2.976424029,2.324172971
The Effect of Heart Rate Variability Biofeedback Training on Mental Health of Pregnant and Non- Pregnant Women: A Randomized Controlled Trial,"van der Zwan et al, 2019",Pregant,Depression,TAU/WL,29,21,5.45,4.24,2.8,3.4,9.81,8.55,6.4,4.97,-2.65,-3.41,3.058627143,6.189709202
The Effect of Heart Rate Variability Biofeedback Training on Mental Health of Pregnant and Non- Pregnant Women: A Randomized Controlled Trial,"van der Zwan et al, 2019",Pregant,Anxiety,TAU/WL,29,21,5.66,4.28,4.1,4.08,8.29,8.3,4.9,4.66,-1.56,-3.39,3.243060283,6.037913547
The Effect of Heart Rate Variability Biofeedback Training on Mental Health of Pregnant and Non- Pregnant Women: A Randomized Controlled Trial,"van der Zwan et al, 2019",Pregant,Stress,TAU/WL,29,21,15.75,5.33,9.6,6.24,17.71,9.26,13,6.76,-6.15,-4.71,4.55890557,6.618803517
"The Utility of a Novel, Combined Biofeedback-Virtual Reality Device as Add-on Treatment for Chronic Migraine","Cuneo et al, 2023",Migraine,Stress,TAU/WL,14,22,21.36,5.11,16.54,8.91,16.57,5.32,16.13,5.17,-4.82,-0.44,6.462047663,4.065112545
"The Utility of a Novel, Combined Biofeedback-Virtual Reality Device as Add-on Treatment for Chronic Migraine","Cuneo et al, 2023",Migraine,Depression,TAU/WL,14,22,10.43,6.22,8.41,4.56,6.79,4.37,8.86,8.91,-2.02,2.07,4.446742628,6.631260815
